,洪水概率
洪水概率,1.0
季风强度,0.19601813325640402
无效防灾,0.1883130552739769
基础设施恶化,0.18727638864046278
大坝质量,0.18698971223881175
地形排水,0.182553636471095
河流管理,0.17893215447280897
滑坡,0.1788624149789469
人口得分,0.1783915207784108
规划不足,0.17819164154113865
农业实践,0.17482136939877455
气候变化,0.17420668194379949
城市化,0.17408869616098394
侵蚀,0.17391490991433695
森林砍伐,0.1735389892215547
湿地损失,0.1708608733578474
海岸脆弱性,0.16983671415514964
淤积,0.16937613345468114
流域,0.16559091781141558
政策因素,0.16084882158433877
排水系统,0.1565274106164175
